iter	Passed	Remaining
728	2644	983
729	2648	979
730	2650	975
731	2654	971
732	2656	967
733	2660	964
734	2663	960
735	2667	956
736	2669	952
737	2671	948
738	2675	944
739	2677	940
740	2682	937
741	2684	933
742	2688	929
743	2690	925
744	2694	922
745	2696	918
746	2700	914
747	2703	910
748	2705	906
749	2708	902
750	2711	898
751	2714	895
752	2717	891
753	2720	887
754	2723	883
755	2726	879
756	2728	876
757	2731	871
758	2734	868
759	2736	864
760	2740	860
761	2743	856
762	2746	853
763	2749	849
764	2751	845
765	2755	841
766	2757	837
767	2761	834
768	2763	830
769	2768	826
770	2771	823
771	2775	819
772	2778	815
773	2781	812
774	2785	808
775	2788	804
776	2791	801
777	2794	797
778	2798	793
779	2801	790
780	2805	786
781	2808	782
782	2813	779
783	2816	776
784	2820	772
785	2825	769
786	2828	765
787	2834	762
788	2839	759
789	2845	756
790	2850	753
791	2855	749
792	2860	746
793	2866	743
794	2871	740
795	2876	737
796	2881	733
797	2886	730
798	2894	728
799	2902	725
800	2908	722
801	2914	719
802	2921	716
803	2927	713
804	2934	710
805	2940	707
806	2943	704
807	2949	700
808	2954	697
809	2960	694
810	2963	690
811	2968	687
812	2973	683
813	2976	680
814	2981	676
815	2987	673
816	2995	670
817	3000	667
818	3003	663
819	3010	660
820	3014	657
821	3017	653
822	3022	649
823	3026	646
824	3030	642
825	3034	639
826	3039	635
827	3043	632
828	3047	628
829	3051	625
830	3058	622
831	3068	619
832	3072	615
833	3075	612
834	3078	608
835	3082	604
836	3085	600
837	3088	597
838	3091	593
839	3095	589
840	3098	585
841	3101	581
842	3103	578
843	3106	574
844	3109	570
845	3112	566
846	3115	562
847	3118	559
848	3121	555
849	3125	551
850	3127	547
851	3131	543
852	3134	540
853	3136	536
854	3140	532
855	3144	528
856	3149	525
857	3160	522
858	3165	519
859	3175	516
860	3181	513
861	3186	510
862	3194	507
863	3199	503
864	3203	500
865	3208	496
866	3213	492
867	3216	489
868	3220	485
869	3224	481
870	3227	478
871	3231	474
872	3235	470
873	3239	467
874	3243	463
875	3248	459
876	3252	456
877	3255	452
878	3259	448
879	3262	444
880	3266	441
881	3269	437
882	3273	433
883	3278	430
884	3285	426
885	3289	423
886	3294	419
887	3298	416
888	3302	412
889	3306	408
890	3309	404
891	3313	401
892	3317	397
893	3321	393
894	3331	390
895	3340	387
896	3345	384
897	3349	380
898	3354	376
899	3358	373
900	3362	369
901	3366	365
902	3369	361
903	3373	358
904	3378	354
905	3381	350
906	3386	347
907	3389	343
908	3393	339
909	3399	336
910	3402	332
911	3407	328
912	3417	325
913	3424	322
914	3428	318
915	3432	314
916	3435	310
917	3439	307
918	3442	303
919	3446	299
920	3448	295
921	3452	292
922	3455	288
923	3460	284
924	3462	280
925	3466	277
926	3469	273
927	3474	269
928	3476	265
929	3480	261
930	3482	258
931	3485	254
932	3488	250
933	3492	246
934	3495	242
935	3498	239
936	3501	235
937	3504	231
938	3507	227
939	3510	224
940	3513	220
941	3516	216
942	3522	212
943	3526	209
944	3528	205
945	3530	201
946	3533	197
947	3535	193
948	3538	190
949	3541	186
950	3545	182
951	3548	178
952	3553	175
953	3555	171
954	3558	167
955	3561	163
956	3564	160
957	3567	156
958	3569	152
959	3572	148
960	3575	145
961	3578	141
962	3580	137
963	3583	133
964	3586	130
965	3588	126
966	3592	122
967	3594	118
968	3597	115
969	3600	111
970	3603	107
971	3606	103
972	3609	100
973	3612	96
974	3614	92
975	3617	88
976	3620	85
977	3623	81
978	3626	77
979	3629	74
980	3632	70
981	3634	66
982	3638	62
983	3641	59
984	3645	55
985	3647	51
986	3650	48
987	3653	44
988	3655	40
989	3658	36
990	3661	33
991	3664	29
992	3667	25
993	3670	22
994	3672	18
995	3675	14
996	3678	11
997	3680	7
998	3684	3
999	3687	0
